Title,imdbID,Year,Type
Batman: The Killing Joke,tt4853102,2016,movie
"Batman: The Dark Knight Returns, Part 2",tt2166834,2013,movie
Batman: Mask of the Phantasm,tt0106364,1993,movie
Batman: The Movie,tt0060153,1966,movie
Batman: Year One,tt1672723,2011,movie
Batman: Assault on Arkham,tt3139086,2014,movie
Batman: Gotham Knight,tt1117563,2008,movie
Superman/Batman: Apocalypse,tt1673430,2010,movie
Batman Beyond: Return of the Joker,tt0233298,2000,movie
Superman/Batman: Public Enemies,tt1398941,2009,movie
